1,5
2,1
3,8
4,4
5,7
6,2
7,3
8,6
9,5
10,3
11,7
12,6
13,4
14,2
15,8
16,1
17,3
18,8
19,5
20,6
21,7
22,2
23,4
24,1
25,7
26,4
27,6
28,5
29,8
30,2
31,1
32,3
33,4
34,7
35,1
36,2
37,3
38,8
39,6
40,5
41,4
42,8
43,3
44,7
45,1
46,5
47,2
48,6
49,6
50,4
51,1
52,8
53,7
54,3
55,5
56,2
57,1
58,8
59,4
60,7
61,6
62,3
63,2
64,5
65,8
66,6
67,3
68,7
69,4
70,2
71,1
72,5
73,7
74,8
75,3
76,1
77,4
78,2
79,6
80,5
81,1
82,2
83,7
84,8
85,3
86,6
87,5
88,4
89,1
90,8
91,6
92,5
93,4
94,2
95,3
96,7
97,4
98,7
99,5
100,8
101,3
102,1
103,6
104,2
105,4
106,7
107,8
108,1
109,2
110,3
111,6
112,5
113,5
114,2
115,4
116,3
117,8
118,6
119,7
120,1
121,1
122,8
123,6
124,4
125,5
126,7
127,2
128,3
129,7
130,4
131,2
132,1
133,8
134,5
135,6
136,3
137,7
138,8
139,5
140,4
141,2
142,6
143,3
144,1
145,4
146,5
147,2
148,8
149,7
150,6
151,3
152,1
153,3
154,5
155,2
156,1
157,7
158,8
159,4
160,6
161,7
162,8
163,2
164,4
165,1
166,3
167,6
168,5
169,8
170,6
171,3
172,1
173,7
174,2
175,4
176,5
177,4
178,6
179,5
180,7
181,1
182,3
183,8
184,2
185,7
186,1
187,5
188,3
189,2
190,4
191,8
192,6
193,4
194,5
195,3
196,6
197,2
198,8
199,7
200,1
