1,7
2,2
3,8
4,6
5,3
6,1
7,5
8,4
9,6
10,2
11,5
12,7
13,4
14,8
15,3
16,1
17,3
18,2
19,6
20,5
21,1
22,8
23,7
24,4
25,7
26,4
27,6
28,2
29,5
30,3
31,8
32,1
33,6
34,3
35,4
36,5
37,1
38,2
39,7
40,8
41,2
42,8
43,7
44,3
45,4
46,5
47,6
48,1
49,7
50,5
51,2
52,4
53,1
54,6
55,3
56,8
57,6
58,5
59,2
60,4
61,8
62,7
63,3
64,1
65,3
66,4
67,7
68,6
69,1
70,8
71,5
72,2
73,2
74,6
75,5
76,1
77,4
78,7
79,8
80,3
81,8
82,3
83,7
84,4
85,6
86,2
87,5
88,1
89,8
90,5
91,4
92,3
93,6
94,1
95,7
96,2
97,3
98,6
99,4
100,7
101,5
102,1
103,8
104,2
105,3
106,6
107,4
108,7
109,8
110,2
111,1
112,5
113,8
114,7
115,2
116,1
117,6
118,3
119,4
120,5
121,8
122,1
123,5
124,6
125,7
126,2
127,3
128,4
129,7
130,6
131,4
132,1
133,2
134,5
135,3
136,8
137,8
138,6
139,4
140,7
141,3
142,2
143,1
144,5
145,7
146,4
147,8
148,6
149,2
150,1
151,3
152,5
153,4
154,2
155,1
156,7
157,6
158,8
159,3
160,5
161,7
162,6
163,8
164,2
165,4
166,1
167,5
168,3
169,5
170,3
171,7
172,4
173,6
174,2
175,1
176,8
177,7
178,6
179,4
180,5
181,2
182,3
183,1
184,8
185,7
186,4
187,1
188,2
189,6
190,3
191,8
192,5
193,2
194,4
195,3
196,1
197,6
198,5
199,7
200,8
